,language,family,core inventory
270,Kiribati (northern dialect),AUSTRONESIAN,"['t', 'k', 'b', 'i', 'u', 'v', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'r', 'w', 'ʔ', '']"
271,Kiribati (southern dialect),AUSTRONESIAN,"['t', 'k', 'b', 'i', 'u', 'v', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'r', 'w', 'ʔ', '']"
272,Kisar,AUSTRONESIAN,"['p', 't', 'ʈ', 'k', 'ʔ', 's', 'h', 'i', 'u', 'm', 'n', 'e', 'a', 'o', 'r', 'l', 'w', 'j', '']"
273,Kisi,NIGER-CONGO (Bantu),"['pʰ', 'tʰ', 'tʃʰ', 'kʰ', 'k͡p', '\uf180b', 'ⁿd', '\uf182ɡ', '\uf182\uf180ɡ͡b', 'i', 'u', 'ɓ', 'ɗ', 'ɠ͡ɓ', 'e', 'o', 'f', 's', 'h', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'j', 'w', '']"
274,Klamath,PENUTIAN,"['p', 't', 'c', 'k', 'q', 'ʔ', 'pʼ', 'tʼ', 'cʼ', 'kʼ', 'qʼ', 'i', 'o', 'b', 'd', 'ɟ', 'ɡ', 'ɢ', 'e', 'a', 's', 'h', 'm', 'n', 'iː', 'oː', 'm̥', 'n̥', 'eː', 'aː', 'mʼ', 'n’', 'm̩', 'n̩', 'w', 'l', 'j', 'ʍ', 'l̥', 'j̥', 'wʼ', 'lʼ', 'jʼ', 'l̩', '']"
275,Koiari,TRANS-NEW GUINEA,"['t', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'ɸ', 's', 'h', 'e', 'o', 'β', 'a', 'm', 'n', 'l', 'j', '']"
276,Kolami,DRAVIDIAN,"['p', 't̪', 'ʈ', 'tʃ', 'k', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'iː', 'uː', 's', 'i', 'u', 'z', 'eː', 'oː', 'm', 'n̪', 'ŋ', 'e', 'o', 'l', 'aː', 'r', 'a', 'v', 'j', '']"
277,Kombai,TRANS-NEW GUINEA,"['\uf180b', 'ⁿd', 'ɟ', '\uf182ɡ', '\uf182ɡʷ', 'm', 'n', 'i', 'y', 'ɯ', 'u', 'ɸ', 'x', 'xʷ', 'e', 'a', 'o', 'l', 'r', 'w', 'ɥ', 'j', '']"
278,"Koraga, Mudu",DRAVIDIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'i', 'iː', 'ɨ', 'u', 'uː', 'm', 'n', 'ɳ', 'e', 'eː', 'a', 'aː', 'o', 'oː', 's', 'h', 'l', 'ɭ', 'v', 'r', 'j', '']"
279,"Koraga, Onti",DRAVIDIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'i', 'iː', 'ɨ', 'u', 'uː', 'm', 'n', 'ŋ', 'e', 'eː', 'a', 'aː', 'o', 'oː', 's', 'l', 'v', 'r', 'j', '']"
280,"Koraga, Tappu",DRAVIDIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'i', 'iː', 'ɨ', 'u', 'uː', 'm', 'n', 'ɳ', 'e', 'eː', 'a', 'aː', 'o', 'oː', 's', 'h', 'l', 'ɭ', 'v', 'r', 'j', '']"
281,Korean,LANGUAGE ISOLATE,"['pʰ', 'tʰ', 'cɕʰ', 'kʰ', 'p', 't', 'cɕ', 'k', 'i', 'ɨ', 'u', 'p̀', 't̀', 'c̀ɕ', 'k̀', 'e', 'ʌ', 'o', 's', 'h', 'ɛ', 's̀', 'a', 'm', 'n', 'ŋ', 'l', '']"
282,Koromfé,NIGER-CONGO,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ɪ', 'i', 'ɪː', 'iː', 'ʊ', 'u', 'ʊː', 'uː', 'f', 's', 'ɪ̃', 'ĩ', 'ɪ̃ː', 'ĩː', 'ʊ̃', 'ũ', 'ʊ̃ː', 'ũː', 'v', 'z', 'ɛ', 'e', 'ɛː', 'eː', 'ɔ', 'o', 'ɔː', 'oː', 'm', 'n', 'ŋ', 'ɛ̃', 'ẽ', 'ɛ̃ː', 'ẽː', 'ɔ̃', 'õ', 'ɔ̃ː', 'a', 'ʌ', 'aː', 'ʌː', 'l', 'ã', 'ʌ̃', 'ãː', 'ʌ̃ː', 'w', 'j', 'h', '']"
283,Korowai,TRANS-NEW GUINEA,"['p', 't', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'y', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'ɸ', 's', 'x', 'ɛ', 'a', 'ɔ', 'm', 'n', 'l', 'ɥ', 'w', 'j', '']"
284,"Koyukon, Central Outer",NA-DENE,"['t', 'tl', 'ts', 'k', 'q', 'ʔ', 'tʼ', 'tlʼ', 'tsʼ', 'kʼ', 'qʼ', 'iː', 'uː', 'b', 'd', 'dl', 'dz', 'ɡ', 'ɢ', 'ɔː', 'ɬ', 's', 'x', 'ʌ', 'ɔ', 'z', 'ɣ', 'ə', 'n', 'aː', 'l', 'j', '']"
285,Kpan (Kente dialect),NIGER-CONGO,"['p', 't', 'k', 'ts', 'b', 'd', 'ɡ', 'i', 'ĩ', 'u', 'ũ', 'dz', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'f', 's', 'h', 'a', 'ã', 'v', 'z', 'ɣ', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
286,Kpelle,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'v', 'z', 'ɣ', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'w', 'j', '']"
287,Kporo,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'ts', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'dz', 'e', 'ẽ', 'ɨ', 'ɨ̃', 'o', 'õ', 'f', 'θ', 's', 'h', 'ɛ', 'ɛ̃', 'a', 'ã', 'v', 'ð', 'z', 'ɣ', 'm', 'n', 'ŋ', 'ŋ͡m', 'r', 'w', 'j', '']"
288,Kristang (Malaccan Creole Portuguese),CREOLE,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'z', 'ɛ', 'ə', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'r', 'l', '']"
289,Kriyol (Upper Guinea Crioulo),CREOLE,"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'ʎ', 'ɾ', 'w', 'j', '']"
290,Kui,DRAVIDIAN,"['p', 't̪', 'ʈ', 'c', 'k', 'b', 'd̪', 'ɖ', 'ɟ', 'ɡ', 'i', 'u', 'iː', 'uː', 's', 'h', 'ɛ', 'ɔ', 'ɛː', 'ɔː', 'v', 'a', 'aː', 'm', 'n', 'ɳ', 'r', 'ɽ', 'l', '']"
291,Kuku-Yalanji,AUSTRALIAN (Pama-Nyungan),"['b', 'd', 'd̪ʲ', 'ɖ', 'ɡ', 'm', 'n', 'n̪ʲ', 'ɳ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'w', 'ɻ', 'j', '']"
292,Kumiái (Jamul Tiipay dialect),HOKAN,"['p', 't̪', 't', 'tʃ', 'k', 'kʷ', 'ʔ', 's̪', 'ʃ', 'x', 'xʷ', 'iː', 'uː', 'ɬ', 'ʎ̥', 'i', 'u', 'm', 'n̪', 'ɲ', 'ə', 'l', 'ʎ', 'aː', 'r', 'a', 'j', 'w', '']"
293,Kumiái (Diegueño),HOKAN,"['p', 't̪', 't', 'cç', 'k', 'kʷ', 'q', 's̪', 'ʃ', 'x', 'xʷ', 'iː', 'uː', 'ɬ', 'ʎ̥', 'i', 'u', 'm', 'n̪', 'n', 'ɲ', 'l', 'ʎ', 'r̪', 'r', 'aː', 'j', 'w', 'a', '']"
294,Kurmanji (Kurdish),INDO-EUROPEAN (Indo-Iranian),"['pʰ', 'tʰ', 'cʰ', 'kʰ', 'p', 'pˤ', 't', 'tˤ', 'c', 'cˤ', 'k', 'kˤ', 'ʔ', 'i', 'u', 'b', 'd', 'ɟ', 'ɡ', 'ɪ', 'ʊ', 'f', 's', 'sˤ', 'ʃ', 'x', 'ħ', 'h', 'e', 'o', 'z', 'zˤ', 'ʒ', 'æ', 'a', 'm', 'n', 'l', 'ɾ', 'r', 'w', 'j', 'ʕ', '']"
295,Kurux,DRAVIDIAN,"['pʰ', 'tʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't', 'ʈ', 'tʃ', 'k', 'i', 'iː', 'u', 'uː', 'bʰ', 'dʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'e', 'eː', 'o', 'oː', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'a', 'aː', 's', 'h', 'mʰ', 'nʰ', 'm', 'n', 'ĩ', 'ĩː', 'ũ', 'ũː', 'rʰ', 'ẽ', 'ẽː', 'õ', 'õː', 'r', 'ʀ', 'ã', 'ãː', 'l', 'wʰ', 'jʰ', 'w', 'j', '']"
296,Kutep (Lissam dialect),NIGER-CONGO,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'dz', 'e', 'ɨ', 'o', '\uf180b', 'ⁿd', '\uf182ɡ', 'ɛ', 'a', 'ⁿdz', 'f', 's', 'z', 'm', 'n', 'ŋ', 'N?', 'l', 'r', 'w', 'j', '']"
297,Kuvi,DRAVIDIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'ʔ', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 's', 'i', 'u', 'm', 'n', 'ɳ', 'ŋ', 'e', 'o', 'l', 'a', 'r', 'ɽ', 'v', 'j', 'h', '']"
298,Kwamera,AUSTRONESIAN,"['pʷ', 'p', 't', 'k', 'kʷ', 'fʷ', 'f', 's', 'i', 'u', 'mʷ', 'm', 'n', 'ŋ', 'e', 'ɨ', 'o', 'ɾ', 'a', 'v', 'h', '']"
299,Lakota,SIOUAN,"['pʰ', 't̪ʰ', 'cʰ', 'kʰ', 'ʔ', 'p', 't̪', 'c', 'k', 'i', 'u', 'pʼ', 't̪ʼ', 'cʼ', 'kʼ', 'e', 'o', 's̪', 'ʃ', 'x', 'h', 'a', 's̪ʼ', 'ʃʼ', 'xʼ', 'z̪', 'ʒ', 'ɣ', 'l', 'ã', 'm', 'n', 'w', 'j', '']"
300,Lama,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'cç', 'i', 'ɨ', 'u', 'f', 's', 'h', 'ɪ', 'ʌ̝', 'ʊ', 'm', 'n', 'ɲ', 'e', 'o', 'r', 'ɛ', 'ɔ', 'l', 'a', 'j', 'w', '']"
301,Lango,NIGER-CONGO,"['p', 't', 'tɕ', 'k', 'b', 'd', 'dʑ', 'ɡ', 'i', 'u', 'm', 'n', 'ɲ', 'ŋ', 'ɪ', 'ʊ', 'ɾ', 'e', 'ə', 'o', 'l', 'ɛ', 'ɔ', 'j', 'w', 'a', '']"
302,Lao,TAI-KADAI,"['pʰ', 'tʰ', 'kʰ', 'tʰʷ', 'kʰʷ', 'p', 't', 'tʃ', 'k', 'ʔ', 'tʃʷ', 'kʷ', 'b', 'd', 'i', 'ɯ', 'u', 'f', 's', 'h', 'iə', 'ɯə', 'uə', 'sʷ', 'e', 'ɤ', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'ɔ', 'ŋʷ', 'a', 'l', 'lʷ', 'r', 'w', 'j', '']"
303,Larike,AUSTRONESIAN,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 's', 'h', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
304,Latvian,INDO-EUROPEAN (Baltic),"['p', 't̪', 't̪ʲ', 'k', 'b', 'd̪', 'd̪ʲ', 'ɡ', 'iː', 'uː', 't̪s̪', 'tʃ', 'ɛː', 'oː', 'd̪z̪', 'dʒ', 'æː', 'aː', 'f', 's̪', 'ʃ', 'x', 'v', 'z̪', 'ʒ', 'i', 'u', 'm', 'n̪', 'n̪ʲ', 'ɛ', 'r̪', 'l', 'lʲ', 'æ', 'a', 'j', '']"
305,Lealao Chinantec (Lealao Chinanteco),OTO-MANGUEAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'ɯ', 'u', 'f', 's', 'h', 'e', 'o', 'v', 'z', 'a', 'm', 'n', 'ŋ', 'l', 'r', 'j', '']"
306,Lele,AFRO-ASIATIC (Chadic),"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'u', 'ɓ', 'ɗ', 'ɛ', 'ɔ', '\uf180b', 'ⁿd', 'ⁿdʒ', '\uf182b', 'a', 's', 'h', 'm', 'n', 'ŋ', 'r', 'l', 'w', 'j', '']"
307,Lezgian (Lezgi),NORTH CAUCASIAN,"['pʰ', 'tʰ', 'tʰʷ', 'kʰ', 'kʰʷ', 'qʰ', 'qʰʷ', 'p', 't', 'tʷ', 'k', 'kʷ', 'q', 'qʷ', 'ʔ', 'i', 'y', 'u', 'pʼ', 'tʼ', 'tʼʷ', 'kʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'e', 'b', 'd', 'ɡ', 'ɡʷ', 'æː', 'aː', 'tsʰ', 'tsʰʷ', 'tʃʰ', 'æ', 'a', 'ts', 'tsʷ', 'tʃ', 'tsʼ', 'tsʼʷ', 'tʃʼ', 'f', 's', 'sʷ', 'ʃ', 'x', 'χ', 'χʷ', 'h', 'z', 'zʷ', 'ʒ', 'ʁ', 'ʁʷ', 'm', 'n', 'l', 'r', 'w', 'j', '']"
308,Limbu,SINO-TIBETAN,"['pʰ', 'tʰ', 'kʰ', 'i', 'u', 'p', 't', 'ts', 'k', 'ʔ', 'e', 'o', 'ɛ', 'ɔ', 'b', 'd', 'ɡ', 'a', 'm', 'n', 'ŋ', 's', 'iː', 'uː', 'ɦ', 'ɛː', 'ɔː', 'w', 'l', 'j', 'aː', '']"
309,Lingala,NIGER-CONGO (Bantu),"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'z', 'ɛ', 'ɔ', 'm', 'n', 'a', 'l', 'w', 'j', '']"
310,Lithuanian,INDO-EUROPEAN (Baltic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'iː', 'uː', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'eː', 'oː', 'ts', 'tsʲ', 'tʃ', 'tʃʲ', 'æː', 'dz', 'dzʲ', 'dʒ', 'dʒʲ', 'ɑː', 's', 'sʲ', 'ʃ', 'ʃʲ', 'ɪ', 'ʊ', 'z', 'zʲ', 'ʒ', 'ʒʲ', 'm', 'mʲ', 'n', 'nʲ', 'ɛ', 'l', 'lʲ', 'r', 'rʲ', 'a', 'ʋ', 'ʋʲ', 'j', 'iɛ', 'uɔ', '']"
311,Lomongo (Mongo-Nkundu),NIGER-CONGO,"['t', 'k', 'ts', 'tʃ', 'b', 'd', 'dʒ', 'i', 'u', 'ⁿdʒ', 'e', 'o', 'f', 's', 'a', 'z', 'm', 'n', 'ŋ', 'l', 'w', 'j', '']"
312,Loniu,AUSTRALIAN (Pama-Nyungan),"['p', 'pʷ', 't', 'tʃ', 'k', 's', 'h', 'i', 'u', 'm', 'mʷ', 'n', 'ɲ', 'ŋ', 'e', 'o', 'l', 'ɛ', 'ɔ', 'r', 'a', 'w', 'j', '']"
313,Lorma,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'i', 'u', 'ɓ', 'e', 'o', 'f', 's', 'ɛ', 'ɔ', 'β', 'v', 'z', 'ɣ', 'a', 'm', 'n', 'ŋ', 'w̃', 'j̃', 'w', 'l', 'j', '']"
314,Lotha,SINO-TIBETAN,"['pʰ', 'tʰ', 'tsʰ', 'tʃʰ', 'kʰ', 'p', 'pf', 't', 'ts', 'tʃ', 'k', 'pv', 'f', 's', 'ʃ', 'h', 'i', 'u', 'v', 'z', 'ʒ', 'e', 'o', 'mʰ', 'nʰ', 'ɲʰ', 'ŋʰ', 'ə', 'm', 'n', 'ɲ', 'ŋ', 'a', 'lʰ', 'l', 'rʰ', 'w', 'r', 'j', '']"
315,Louisiana Creole French,CREOLE,"['p', 't', 'tʃ', 'k', 'i', 'y', 'u', 'b', 'd', 'dʒ', 'ɡ', 'ɪ', 'f', 's', 'ʃ', 'e', 'ø', 'o', 'v', 'z', 'ʒ', 'ɛ', 'œ', 'ɔ', 'm', 'n', 'ŋ', 'æ', 'a', 'l', 'r', 'ẽ', 'ɔ̃', 'w', 'ɹ', 'j', 'ɥ', 'ã', '']"
316,Lumasaaba (Masaba),NIGER-CONGO (Bantu),"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'β', 'z', 'a', 'm', 'n', 'ŋ', 'l', 'j', '']"
317,Lusi,AUSTRONESIAN,"['p', 't', 'k', '\uf180b', 'ⁿd', '\uf182ɡ', 's', 'h', 'i', 'u', 'β', 'ɣ', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'ɾ', 'r', 'l', 'w', '']"
318,Maale,AFRO-ASIATIC,"['p', 't', 'c', 'k', 'ʔ', 'b', 'd', 'ɟ', 'ɡ', 'iː', 'uː', 'cʼ', 'kʼ', 'i', 'u', 'ɓ', 'ɗ', 'eː', 'oː', 'ts', 'e', 'o', 's', 'ʃ', 'h', 'aː', 'z', 'ʒ', 'a', 'sʼ', 'm', 'n', 'l', 'r', 'w', 'j', '']"
319,Maasai,NILO-SAHARAN,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'ɡʰ', 'e', 'o', 'p*', 's', 'ʃ', 'a', 'b*', 'm', 'n', 'ɲ', 'ŋ', 'w*', 'l', 'ʋ*', 'r', 'ʍ', 'w', 'j', '']"
320,Macuxi (Macushi),CARIB,"['p', 't', 'k', 'ʔ', 's', 'iː', 'ɨː', 'uː', 'i', 'ɨ', 'u', 'm', 'n', 'ŋ', 'eː', 'oː', 'e', 'o', 'ɾ', 'aː', 'a', 'w', 'j', '']"
321,Mada,AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'kʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'ø', 'o', 'ts', 'ə', 'dz', 'a', 'ⁿdz', 'f', 's', 'v', 'z', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', '']"
322,Madurese,AUSTRONESIAN,"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 'ʈ', 'tʃ', 'k', 'ʔ', 'i', 'ɨ', 'ɤ', 'u', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'ɛ', 'ə', 'ɑ', 'ɔ', 's', 'm', 'n', 'ɲ', 'ŋ', 'r', 'l', 'j', 'h', '']"
323,Maithili,INDO-EUROPEAN (Indo-Aryan),"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 'ʈ', 'tʃ', 'k', 'ĩ', 'ũ', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'i', 'u', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'ẽ', 'ə̃', 'õ', 's̪', 'h', 'e', 'ə', 'o', 'm', 'n̪', 'ŋ', 'æ̃', 'ã', 'ɑ̃', 'ɾ̪', 'æ', 'a', 'ɑ', 'l̪', '']"
324,Malay,AUSTRONESIAN,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 'θ', 's', 'ʃ', 'x', 'e', 'ə', 'o', 'v', 'ð', 'z', 'χ', 'a', 'm', 'n', 'ɲ', 'ŋ', 'r', 'l', 'w', 'j', 'h', '']"
325,Malayalam,DRAVIDIAN,"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 't', 'ʈ', 'tʃ', 'k', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'i', 'iː', 'u', 'uː', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'ə', 's', 'ʂ', 'ʃ', 'h', 'e', 'eː', 'o', 'oː', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'a', 'aː', 'ɾ', 'r', 'l', 'ɭ', 'ʐ', 'v', 'j', '']"
326,Maltese,AFRO-ASIATIC (Semitic),"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'uː', 'ts', 'tʃ', 'ɪː', 'ʊː', 'dʒ', 'ɪ', 'ʊ', 'f', 's', 'ʃ', 'h', 'ɛː', 'ɔː', 'v', 'z', 'ɛ', 'ɔ', 'm', 'n', 'ɐː', 'l', 'ɐ', 'ɹ', 'w', 'j', '']"
327,Mam (Northern Mam),MAYAN,"['p', 't', 'kʲ', 'k', 'ʔ', 'tʼ', 'kʼʲ', 'kʼ', 'ɪ', 'ʊ', 'ɛ', 'ɔ', 'ɓ', 'ɠ̥', 'a', 'ts', 'tʃ', 'ʈʂ', 'qχ', 'tsʼ', 'tʃʼ', 'ʈʂʼ', 'iː', 'uː', 's', 'ʃ', 'ʂ', 'x', 'eː', 'oː', 'm', 'n', 'a̝ː', 'ɾ', 'w', 'l', 'j', '']"
328,Mandan,SIOUAN,"['p', 't', 'k', 'ʔ', 'i', 'u', 'iː', 'uː', 'ĩ', 'ũ', 's', 'ʃ', 'x', 'e', 'o', 'eː', 'oː', 'w', 'r', 'h', 'æ', 'a', 'æː', 'aː', 'ã', '']"
329,Mandarin,SINO-TIBETAN,"['pʰ', 'tʰ', 'tsʰ', 'ʈʂʰ', 'cɕ', 'kʰ', 'p', 't', 'ts', 'ʈʂ', 'cɕʰ', 'k', 'i', 'y', 'u', 'f', 's', 'ʂ', 'ɕ', 'χ', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'l', 'ɹ', 'w', '']"
330,Mandikakan (Mandinka) (Pakawu dialect),NIGER-CONGO,"['p', 't', 'tʃ', 'k', 'iː', 'uː', 'b', 'd', 'dʒ', 'eː', 'ɔː', 'f', 's', 'h', 'aː', 'm', 'n', 'ɲ', 'ŋ', 'l', 'i', 'u', 'r', 'e', 'ɔ', 'j', 'w', 'a', '']"
331,Mandinkakan (Mandinka) (Guinea Bissau dialect),NIGER-CONGO,"['t', 'tʃ', 'k', 'ĩ', 'ũ', 'iː', 'uː', 'b', 'd', 'dʒ', 'ẽ', 'ɔ̃', 'eː', 'ɔː', 'f', 's', 'h', 'ã', 'aː', 'm', 'n', 'ɲ', 'ŋ', 'l', 'i', 'u', 'r', 'e', 'ɔ', 'j', 'w', 'a', '']"
332,Mangap-Mbula,AUSTRONESIAN,"['p', 't̪', 'k', 'b', 'd̪', 'ɡ', '\uf180b', 'ⁿd̪', '\uf182ɡ', 'i', 'u', 's', 'e', 'o', 'z', 'a', 'm', 'n̪', 'ŋ', 'l', 'r', 'w', 'j', '']"
333,Manipuri,SINO-TIBETAN,"['pʰ', 'tʰ', 'kʰ', 'p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'ə', 'u', 's', 'h', 'e', 'a', 'o', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', '']"
334,Maori,AUSTRONESIAN,"['p', 't', 'k', 'f', 'h', 'i', 'u', 'm', 'n', 'ŋ', 'e', 'o', 'ɾ', 'a', 'w', '']"
335,Marathi (Cochin),INDO-EUROPEAN (Indo-Aryan),"['pʰ', 'tʰ', 'ʈʰ', 'kʰ', 'p', 't', 'ʈ', 'tʃ', 'k', 'i', 'iː', 'u', 'uː', 'bʰ', 'dʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'e', 'eː', 'o', 'oː', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'ə', 'əː', 's', 'ʂ', 'ʃ', 'h', 'ɛ', 'ɛː', 'ɔ', 'ɔː', 'mʰ', 'nʰ', 'a', 'aː', 'm', 'n', 'ɳ', 'ŋ', 'vʰ', 'lʰ', 'jʰ', 'v', 'l', 'ɭ', 'j', '']"
336,Marathi (Kosti),INDO-EUROPEAN (Indo-Aryan),"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 'ʈ', 'tʃ', 'k', 'i', 'u', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'e', 'ə', 'o', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'a', 's̪', 'ʃ', 'x', 'mʰ', 'nʰ', 'm', 'n', 'ɳ', 'ŋ', 'rʰ', 'r', 'lʰ', 'v', 'l', 'j', '']"
337,Margi (Marghi Central),AFRO-ASIATIC (Chadic),"['p', 'pʷ', 't', 'tʷ', 'p͡t', 'c', 'k', 'kʷ', 'ʔ', 'b', 'bʷ', 'd', 'b͡d', 'ɟ', 'ɡ', 'ɡʷ', 'ts', 'p͡ts', 'tʃ', 'b͡tʃ', 'dz', 'b͡dz', 'dʒ', 'b͡dʒ', 'ɓ', 'ɓʷ', 'ɗ', 'b͡ɗ', '\uf180p', 'ⁿt', '\uf180t', '\uf182c', '\uf182k', '\uf180b', 'ⁿd', '\uf180d', '\uf182ɡ', '\uf182ɡ', 'ⁿts', '\uf180ts', 'ⁿtʃ', '\uf180tʃ', 'ⁿdz', '\uf180dz', 'ⁿdʒ', '\uf180dʒ', 'f', 'fʷ', 's', 'sʷ', 'ps', 'ʃ', '\uf180ʃ', 'ç', 'b͡ç', 'x', 'xʷ', 'v', 'z', 'bz', 'ʒ', 'ʝ', 'b͡ʝ', 'ɣ', 'ɣʷ', 'ɬ', 'ɬʷ', '\uf180ɬ', 'ɮ', 'bɮ', 'm', 'mʷ', 'n', 'ɲ', '\uf180ɲ', 'ŋ', 'ŋʷ', 'l', 'i', 'u', 'vɾ', 'r', 'e', 'ə', 'o', 'w', 'ʔw', 'j', 'ʔj', 'a', '']"
338,Marshallese,AUSTRONESIAN,"['p', 't̪', 'k', 'kʷ', 'tʲ', 'bʷ', 'mʲ', 'n̪', 'ɳ', 'ŋ', 'i', 'mʷ', 'ɳʷ', 'ŋʷ', 'e', 'l̪', 'a', 'lˠ', 'lˠʷ', 'r̪', 'r', 'rʷ', 'w', 'j', 'h', '']"
339,Martuthunira,AUSTRALIAN (Pama-Nyungan),"['p', 't̪', 't', 'ʈ', 'c', 'k', 'iː', 'uː', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'u', 'l̪', 'l', 'ɭ', 'ʎ', 'aː', 'r', 'a', 'w', 'ɻ', 'j', '']"
